Объект	Шаг	Дата	Дней	"Дебит нефти, ст.м3/сут"	"Дебит воды, ст.м3/сут"	"Обводнённость, доля"	"WBP9, Бара"
I1	2	02.01.2009	1.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	3	03.01.2009	2.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	4	08.01.2009	7.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	5	16.01.2009	15.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	6	31.01.2009	30.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	7	01.03.2009	59.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	8	01.04.2009	90.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	9	30.04.2009	119.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	10	30.05.2009	149.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	11	30.06.2009	180.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	12	29.07.2009	209.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	13	29.08.2009	240.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	14	28.09.2009	270.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	15	27.10.2009	299.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	16	27.11.2009	330.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	17	26.12.2009	359.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	18	26.01.2010	390.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	19	25.02.2010	420.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	20	26.03.2010	449.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	21	26.04.2010	480.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	22	25.05.2010	509.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	23	24.06.2010	539.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	24	25.07.2010	570.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	25	30.07.2010	575.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	26	09.08.2010	585.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	27	23.08.2010	599.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	28	23.09.2010	630.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	29	23.10.2010	660.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	30	21.11.2010	689.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	31	22.12.2010	720.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	32	20.01.2011	749.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	33	20.02.2011	780.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	34	22.03.2011	810.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	35	20.04.2011	839.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	36	21.05.2011	870.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	37	20.06.2011	900.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	38	20.07.2011	930.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	39	20.08.2011	961.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	40	19.09.2011	991.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	41	20.10.2011	1022.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	42	19.11.2011	1052.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	43	20.12.2011	1083.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	44	19.01.2012	1113.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	45	18.02.2012	1143.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	46	20.03.2012	1174.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	47	19.04.2012	1204.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	48	20.05.2012	1235.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	49	19.06.2012	1265.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	50	20.07.2012	1296.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	51	19.08.2012	1326.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	52	18.09.2012	1356.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	53	19.10.2012	1387.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	54	18.11.2012	1417.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	55	19.12.2012	1448.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	56	18.01.2013	1478.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	57	18.02.2013	1509.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	58	20.03.2013	1539.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	59	20.04.2013	1570.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	60	20.05.2013	1600.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	61	19.06.2013	1630.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	62	20.07.2013	1661.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	63	19.08.2013	1691.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	64	19.09.2013	1722.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	65	19.10.2013	1752.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	66	19.11.2013	1783.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	67	19.12.2013	1813.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	68	19.01.2014	1844.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	69	18.02.2014	1874.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	70	20.03.2014	1904.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	71	20.04.2014	1935.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	72	20.05.2014	1965.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	73	20.06.2014	1996.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	74	20.07.2014	2026.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	75	20.08.2014	2057.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	76	19.09.2014	2087.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	77	19.10.2014	2117.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	78	19.11.2014	2148.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	79	19.12.2014	2178.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	80	19.01.2015	2209.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	81	18.02.2015	2239.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	82	21.03.2015	2270.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	83	20.04.2015	2300.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	84	21.05.2015	2331.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	85	20.06.2015	2361.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	86	20.07.2015	2391.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	87	20.08.2015	2422.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	88	19.09.2015	2452.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	89	20.10.2015	2483.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	90	19.11.2015	2513.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	91	20.12.2015	2544.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	92	19.01.2016	2574.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	93	18.02.2016	2604.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	94	20.03.2016	2635.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	95	19.04.2016	2665.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	96	20.05.2016	2696.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	97	19.06.2016	2726.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	98	20.07.2016	2757.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	99	19.08.2016	2787.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	100	18.09.2016	2817.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	101	19.10.2016	2848.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	102	18.11.2016	2878.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	103	19.12.2016	2909.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	104	18.01.2017	2939.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	105	18.02.2017	2970.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	106	20.03.2017	3000.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	107	20.04.2017	3031.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	108	20.05.2017	3061.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	109	19.06.2017	3091.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	110	20.07.2017	3122.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	111	19.08.2017	3152.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	112	19.09.2017	3183.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	113	19.10.2017	3213.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	114	19.11.2017	3244.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	115	19.12.2017	3274.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	116	19.01.2018	3305.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	117	18.02.2018	3335.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	118	20.03.2018	3365.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	119	20.04.2018	3396.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	120	20.05.2018	3426.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	121	20.06.2018	3457.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	122	20.07.2018	3487.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	123	20.08.2018	3518.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	124	19.09.2018	3548.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	125	19.10.2018	3578.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	126	19.11.2018	3609.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I1	127	19.12.2018	3639.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
Объект	Шаг	Дата	Дней	"Дебит нефти, ст.м3/сут"	"Дебит воды, ст.м3/сут"	"Обводнённость, доля"	"WBP9, Бара"
I10	2	02.01.2009	1.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	3	03.01.2009	2.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	4	08.01.2009	7.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	5	16.01.2009	15.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	6	31.01.2009	30.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	7	01.03.2009	59.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	8	01.04.2009	90.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	9	30.04.2009	119.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	10	30.05.2009	149.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	11	30.06.2009	180.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	12	29.07.2009	209.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	13	29.08.2009	240.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	14	28.09.2009	270.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	15	27.10.2009	299.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	16	27.11.2009	330.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	17	26.12.2009	359.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	18	26.01.2010	390.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	19	25.02.2010	420.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	20	26.03.2010	449.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	21	26.04.2010	480.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
I10	22	25.05.2010	509.0000	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00	+0.00000000e+00
