wname,iw,jw,kw
P1,82,44,1
P1,81,44,3
P1,81,43,7
P2,97,38,1
P2,97,37,1
P3,67,42,1
P3,66,42,6
P4,76,42,1
P4,75,42,4
P4,75,41,7
P5,43,46,1
P5,42,46,1
P6,53,47,1
P6,53,46,1
P6,52,46,2
P7,62,47,1
P7,62,46,1
P7,61,46,7
P8,70,46,1
P8,69,46,5
P9,96,45,1
P10,101,45,1
P10,101,44,3
P11,104,40,1
P11,104,39,6
P12,99,35,1
P12,99,34,7
P12,98,34,7
P13,91,33,1
P13,90,33,8
P14,83,33,1
P14,83,34,5
P15,75,34,1
P16,72,38,1
P17,65,37,1
P17,65,38,5
P18,56,38,1
P18,55,38,2
P19,52,43,1
P19,51,43,5
P20,45,42,1
I1,32,44,1
I2,38,39,1
I3,47,35,1
I3,46,35,7
I3,46,36,7
I4,55,28,1
I5,63,27,1
I5,63,28,6
I6,72,29,1
I6,72,30,7
I7,82,28,1
I7,82,29,4
I8,92,27,1
I8,92,28,3
I9,105,32,1
I9,105,31,7
I10,112,43,1
I10,112,42,3
