Well Name,Initial X,Initial Y,PORO,SOIL,Шаг,Дата,Дней,"Дебит нефти, ст.м3/сут","Дебит воды, ст.м3/сут","Забойное давление (И), Бара","WBP9, Бара","Дебит нефти (И), ст.бр/сут","Забойное давление (И), Фунт-сила / кв.дюйм (абс.)"
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",2,02.01.2009,1.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.57023310e+02,0.0,0.0
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",3,03.01.2009,2.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.57023310e+02,0.0,0.0
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",4,08.01.2009,7.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.57023310e+02,0.0,0.0
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",5,16.01.2009,15.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.57023310e+02,0.0,0.0
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",6,31.01.2009,30.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.57023310e+02,0.0,0.0
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",7,01.03.2009,59.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.57023310e+02,0.0,0.0
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",8,01.04.2009,90.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.57023310e+02,0.0,0.0
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",9,30.04.2009,119.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.57023310e+02,0.0,0.0
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",10,30.05.2009,149.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.57020965e+02,0.0,0.0
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",11,30.06.2009,180.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.57008813e+02,0.0,0.0
