Well Name,Initial X,Initial Y,SOIL,Шаг,Дата,Дней,"Дебит нефти, ст.м3/сут","Дебит воды, ст.м3/сут","Забойное давление (И), Бара","WBP9, Бара"
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",2,02.01.2009,1.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.56383391e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",3,03.01.2009,2.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.56383391e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",4,08.01.2009,7.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.56383391e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",5,16.01.2009,15.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.56383391e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",6,31.01.2009,30.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.56383391e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",7,01.03.2009,59.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.56383391e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",8,01.04.2009,90.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.56383391e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",9,30.04.2009,119.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.56383391e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",10,30.05.2009,149.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.56380889e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",11,30.06.2009,180.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.56368230e+02
